Orostara,Type,Notes,Nouns,Verbs,Adjectives,Adverbs,Other,Category,CatRel,CatOrder,RootLanguage,RLWord,RL Word Pronunciation,PemSearchList
par,slang,Affectionate honorific suffix that means 'someone who takes care of me',mommy/daddy/big sister/big brother/autie/uncle/etc,,,,,,,,Orostara,,,
Parasirmur,proper,'mur' added for clarity,Brazil/Federal Republic of Brazil,,,,,country,,,Portuguese,Brasil,,
Paratmur,proper,'mur' added for clarity,India/Republic of India,,,,,country,,,Hindi,भारत,bhaarat,
parin,basic,,bird,,,,,animal/nature,,,Urdu,پرندہ,parinda,
pas,basic/slang,refers to a substance with a pH greater than neutral,base,,basic/bitter/(colloquially) rude/mean,,,food,adj,4,Spanish,base,,
pat,basic,,problem/obstacle/issue,block/cause a problem,blocked/problematic,,,,,,Bangla,বাধা,Bādhā,
patar,basic,,rock/stone,,,,,nature,,,Urdu,پتھر,patthar,
pater,basic,,strike/beat,hit/beat/strike,,,,,,,Portuguese,bater,,
patrak,basic,,side/wall/dimension/face/plane/sheet/board/plate/surface,,flat,,,,,,Marathi,पत्रक,Patraka,
paux,basic,,insurance,insure ,insured,,,,,,Shanghainese,保险,pau xi,
pax,basic,,joy/enjoyment/fun/delight,like/enjoy/fond of,happy/fun/enjoyable,happily,,,,,Bangla,পছন্দ,Pachanda,
paxet,basic,,budget,budget,,,,,,,English,budget,,
paxpok,,,smile,smile,,,,,,,Orostara,pax pok,happy mouth,
pay,basic,Can be used as an honorific suffic ,baby/infant,,,,,,,,Javanese,bayi,,
payor,,,uterus,,,,,body,,42,Orostara,pay or,baby organ,
peix,basic,,fish,,,,,animal/nature,,,Portuguese,peixe,,
pem,basic,,snake,,,,,animal/nature,,,Korean,뱀,baem,
pen,basic,marker to indicate what the dependent clause is modifying/acting as,such,,such,,,,,,Mandarin Chinese,本,Běn,
Penxapitar,proper,'tar' added for clarity,Punjabi,,,,,language,,,Punjabi,ਪੰਜਾਬੀ,Pajābī,
per,basic,,sphere/ball,,round,,,shape,,,Spanish,pelota,,
perek,basic,,nail/tack,nail/tack,,,,,,,Bangla,পেরেক,Pērēka,
perfek,basic,,perfection,perfect,perfect/flawless,,,,,,Spanish,perfecto,,
perton,basic,,,forgive/(using -u ending) excuse me/pardon me,,,,,,,Spanish,perdón,,
Perumur,proper,'mur' added for clarity,Peru/Republic of Peru,,,,,country,,,Spanish,Perú,,
pesek,,future tense marker,future,,,,,,,,Orostara,pex sek,,
pet,basic,,tree,,,,,plant/nature,,,Hindi,पेड़,ped,
petan,basic,,seat,sit,,,,,,,Hindi,बैठना,baithana,
petanmip,,,chair,,,,,,,,Orostara,petan mip,sit furniture,
petkun,,,forest,,,,,nature,,,Orostara,pet kun,tree group,
petmat,,,wood,,,,,,,,Orostara,pet mat,tree material,
Petox,proper,inspired by the Vietnamese term for Jupiter 'sao Mộc' meaning 'wood star' (referring to the Chinese idea of Wuxing and it's Five 'Elements'),Jupiter,,,,,space,,13,Orostara,pet hox,tree planet,
pex,basic,,back/(temporally) next time,,back,backwards,(physically) behind/in back of/last/(temporally) after/next,direction,adv,10,Bangla,পিছনে,Pēchanē,
pexkos,,,spine,,,,,body,,22,Orostara,pex kos,back bone,
pexten,,,tomorrow,,,,,,,,Orostara,pex ten,,
pian,basic,,edge/border/limit/line,,,,,,,,Mandarin Chinese,边界,Biānjiè,
pin,basic,,dot/point/spot,,,,,,,,Hindi,बिंदु,bindu,
pintar,basic,,paint,paint,,,,,,,Spanish,pintar,,
pinxun,basic,,mean,normalize,average,,,,,,Mandarin Chinese,平均,Píngjūn,
pir,basic,,cat,,,,,animal/nature,,,Hindi,बिल्ली,billee,
pirik,,,kitty/kitten,,,,,animal/nature,,,Orostara,pir ik,,
pirim,basic,,science,,,,,,,,Turkish,bilim,,
pirimren,,,scientist,,,,,,,,Orostara,pirim ren,science person,
Piripinasmur,proper,'mur' already included! No need to add,Phillipines/Republic of the Philippines,,,,,country,,,Filipino,Pilipinas,,
pis,basic,,scent/odor/smell,sniff/smell,,,,,,,Mandarin Chinese,鼻子,Bízi,
pisor,,,nose,,,,,body,,14,Orostara,pis or,,
pit,basic,,plant/vegetable,,,,,plant/nature/food,,0,Turkish,bitki,,
pix,basic,,seed,,,,,food/plant/nature,,1,Bangla,বীজ,Bīja,
poem,basic,,poem/poetry,,poetic,,,,,,English,poem,,
pof,basic,,irritant,bother/irritate,annoying/irritating/bothersome,,,,,,English,bother,,
poin,basic,,,point/indicate/show,,,,,,,English,point,,
Pojpuritar,proper,'tar' added for clarity,Bhojpuri,,,,,language,,,Bhojpuri,भोजपुरी,bhojapuree,
pok,basic,,mouth,,,,,body,,15,Portuguese,boca,,
pom,basic,,toy,play with,,,,,,,Telugu,బొమ్మ,Bom'ma,
pon,basic,,,lay/lie down/place/put,,,,,,,Spanish,poner,,
por,basic,,powder,crush/pulverize,powdery,,,,,,Spanish,polvo,,
Porsakamur,proper,'mur' added for clarity,Poland/Rzeczpospolita Polska/Republic of Poland,,,,,country,,,Polish,Polska,,
Portukesatar,proper,'tar' added for clarity,Portuguese,,,,,language,,,Portuguese,portuguesa,,
pos,basic,,possibility,might,possible,maybe/possibly,,,,,Spanish,posible,,
pot,basic,,contest/competition,compete,competitive ,competitively,,,,,Telugu,పోటీ,Pōṭī,
poy,basic,,chicken,,,,,animal/nature,,,Spanish,pollo,,
pum,basic,,paper,,,,,,,,Russian,бумага,bumaga,
pur,basic,,,,bad/negative,,,,,,Bangla,ਬੁਰਾ,Burā,
purfap,,,rage/anger/wrath,,angry/mad/grumpy/pissy,,,,,,Orostara,pur fap,,
purix,,,,damn/curse,,,,fantasy,verb,,Orostara,pur yix,bad will/energy,
purmax,,referring to magic,curse,curse,,,,fantasy,,,Orostara,pur max,bad magic,
puryuh,,,disease/illness,,ill/sick,,,,,,Orostara,pur yuh,,puryu
put,basic,mainly used to differentiate between physical and virtual,reality/existence,exist,physical/real,physically,,,,,Japanese,物理的,Butsuri-teki,
Putontar,proper,话 replaced with 'tar',Mandarin Chinese,,,,,language,,,Mandarin Chinese,普通话,Pǔtōnghuà,
raf,basic,,adipose,fatten,fat/fatty,,,body/food,adj,2,Telugu,లావు,Lāvu,
rah,basic,,spice/pepper,,spicy/hot,,,food,adj,,Mandarin Chinese,辣,là,
rais,basic,,vehicle,drive,,,,,,,Vietnamese,lái xe,,
rak,basic,,blood,bleed,bloody,,,body,,59,Marathi,रक्त,Rakta,
rakor,,,heart,,,,,body,,28,Orostara,rak or,blood organ,
Rakox,proper,inspired by from the Bangla name for Mars মঙ্গল which is named after a Hindu god of war Mangala ,Mars,,,,,space,,12,Orostara,rak hox,blood planet,
rakrur,,,artery/vein,,,,,body,,4,Orostara,rat rur,blood tube,
rakxas,basic,,monster/demon,,monsterous,monsterously,,fantasy,,,Marathi,राक्षस,Rākṣasa,
ram,basic,,branch/stick,split,,,,plant/nature,,4,Spanish,rama,,
ran,basic,,color/shade/tone,,colorful/vivid/saturated,,,color,,0,Hindi,रंग,rang,
raox,basic,,mouse/rodent,,,,,animal/nature,,,Mandarin Chinese,老鼠,Lǎoshǔ,
ras,basic,,secret/mystery,hide,,,,,,,Persian,راز,râz,
rasam,basic,,drawing,draw,,,,,,,Arabic,رَسَمَ,rasam,
rasfap,,,,,shy,,,,,,Orostara,ras fap,,
Rasiyamur,proper,'mur' added for clarity,Russia/Russian Federation,,,,,country,,,Russian,Россия,Rossiya,
rax,basic,,structure/building,construct/build,,,,,,,Marathi,रचना,Racanā,
ray,basic,,light,,bright,,,,,,English,light,,
Rayox,proper,inspired by the Hindi name for Venus शुक्र meaning 'bright',Venus,,,,,space,,10,Orostara,ray hox,light planet,
rayxas,,,daylight/daytime,,,,,,,,Orostara,ray xas,,
ref,basic,,discovery/finding,discover/find/reveal/show,,,,,,,Spanish,revelar,,
rek,basic,,rule/law/policy,,lawful/strict,lawfully/strictly,,,,,Spanish,regla,,
rekren,,,lawyer,,,,,,,,Orostara,rek ren,law person,
ren,basic,can be used as an honorific suffic when you don't know what to call someone,person,,,,,,,,Mandarin Chinese,人,Rén,
rensis,,,society/institution,,,,,,,,Orostara,ren sis,Samāja,
rentier,,,werecreature,,,,,fantasy,,,Orostara,ren tier,person animal,
res,basic,,,read,,,,,,,Mandarin Chinese,讀,Dú,
resor,basic,the mechanical device,spring,,,,,,,,Spanish,resorte,,
ret,basic,,red,,red,,,color,,1,English,red,,
rex,basic,,solution/answer/resolution,solve/resolve,,,,,,,Russian,решать,reshat,
rey,basic,,class/category/genre/kind/type,,,,,,,,Mandarin Chinese,类,Lèi,
rif,basic,,leaf,,,,,plant/nature,,5,English,leaf,,
rik,basic,,,go away/leave,,away,away from,,,,Mandarin Chinese,离开,Líkāi,
rim,basic,,maintenance,stay/remain/keep/maintain,,still,,,,,English,remain,,
rinin,,named for the number of points on the shape,circle/oval,,,,,shape,,,Orostara,rin hin,,
rip,basic,,,release/let go,free,,,,,,Spanish,liberar,,
rir,basic,,humor/laughter,laugh,funny/humorous,,,,,,French,rire,,
ris,basic,,connection/relation/link,connect/relate/link,connecting/connective,,,,,,Hindi,रिश्ता,riśtā,
risar,basic,,lizard,,,,,animal/nature,,,English,lizard,,
risartaf,,,salamander,,,,,animal/nature,,,Orostara,risar taf,frog lizard,
riskun,,,network,,,,,,,,Orostara,ris kun,,
rit,basic,,theory,theorize/suspect/hypothesize,theoretical/hypothetically,theoretically/hypothetically,,,,,Vietnamese,lý thuyết,,
rix,basic,,knowledge/fact/information/understanding,know/identify/determine/recognize/understand,known/familiar,,,,,,Mandarin Chinese,理解,Lǐjiě,
rixin,basic,,exploration/journey/trip,explore/adventure,adventurous,adventurously,,,,,Mandarin Chinese,旅行,Lǚxíng,
rixren,,,expert,,,,,,,,Orostara,rix ren,knowledge person,
rof,basic,,texture,,rough/harsh,,,,,,English,rough,,
roh,basic,,,,raw/crude/unprocessed,,,,,,German,roh,,
rok,basic,,oil,,oily,,,food,,,Persian,روغن,rowğan,
ron,basic,,,allow/let/permit/tolerate/invite,,,,,,,Mandarin Chinese,容许,Róngxǔ,
ror,basic,,concern,worry,concerned,,,,,,Vietnamese,lo lắng,,
rot,basic,,rip/tear,rip/tear,,,,,,,Spanish,rotura,,
rox,basic,,house/lodge/home/apartment,dwell/reside/live/inhabit,homey,,,,,,French,loger,,
ruk,basic,,six,,6,,,number,,7,Cantonese,六,luk,
rukin,,named for the number of points on the shape,hexagon,,hexagonal,,,shape,,,Orostara,ruk hin,,
ruktix,,named for the number of faces on the object,cube/rectangular prism/box,,cubic/rectangular,,,shape,,,Orostara,ruk tix,,
rum,basic,,room,,,,,,,,English,room,,
run,basic,,moon,,,,,space,,3,Spanish,luna,,
rur,basic,,tube/pipe/straw,,,,,,,,Persian,لوله,lule,
Ruskitar,proper,ком replaced with 'tar',Russian,,,,,language,,,Russian,русский,russki,
rut,basic,,bread,,,,,food,,,Bangla,রুটি,,
rux,basic,,horn/antler,,,,,body,,11,Mandarin Chinese,鹿角,Lùjiǎo,
saf,basic,,soap,wash/clean,clean,,,,,,Hindi,साफ़,saaf,
safes,,,bath,bathe,,,,,,,Orostara,saf hes,,
tif,basic,location marker particle,place/location/space,,,,,,,,Mandarin Chinese,地方,Dìfāng,
san,basic,,orange,,orange,,,color,,2,Cantonese,橙色,caang sik,
saox,basic,,morning,,,,,,,,Mandarin Chinese,早晨,Zǎochén,
sap,basic,,circumference ,,thick,,,measurement,,,Italian,spesso,,
sapar,basic,,cactus,,,,,plant/nature,,,Arabic,صبار,sabaar,
saput,basic,,evidence/proof,prove,,,,measurement,,,Urdu,ثبوت,sabūt,
sar,basic,,four,,4,,,number,,5,Shanghainese,四,sr,
sarat,basic,,salt,,salty,,,food,,1,English,salt,,
sarop,basic,,slope/incline/tilt,lean/tilt,,,,,,,English,slope,,
sartar,basic,,jump,jump,,,,,,,Spanish,saltar,,
sas,basic,,breath,breathe,,,,body,,68,Hindi,साँस,saans,
sasor,,,lung,,,,,body,,27,Orostara,sas or,air organ,
sater,basic,,stem,,,,,plant/nature,,3,Italian,stelo,,
Sautiyamur,proper,'mur' added for clarity,Saudi Arabia/Kingdom of Saudi Arabia,,,,,country,,,Arabic,السعودية,alsueudia,
say,basic,,liquid,melt/condense,,,,,,,Arabic,سائل,sayil,
seh,basic,,continuation/endurance,bear/stand/endure/last/continue,continuous/perpetual,continuously/perpetually,,,,,Hindi,सहना,sahana,se
seir,basic,,order/series/list/arrangement/row/sequence,organize/sort/arrange,orderly,,,,,,Japanese,整理,Seiri,
sek,basic,time marker particle/default time unit,time/moment/second,,,,for,measurement,,,English,second,,
sekun,,marks the time; indicates a dependent clause following,,,,,when,,,,Orostara,sek hun,,
sekxan,,pair with 'sek',past second,,,,,,,,Orostara,sek xan,,
sekxok,,,film/movie,film,,,,,,,Orostara,sek xok,,
sen,basic,,art,,artistic,,,,,,Javanese,seni,,
senkon,basic,,success/victory,succeed/win/beat/conquer,successful,successfully,,,,,Shanghainese,成功,zen-kon,
senren,,,artist,,,,,,,,Orostara,sen ren,art person,
senxun,,,design,design,,,,,,,Orostara,sen xun,art plan,
sep,basic,,bait/lure,entice/lure/bait/tempt/taunt/bribe,tempting,,,,,,Spanish,cebo,,
serin,,named for the number of points on the shape,square/rectangle/diamond,,square/rectangular,,,shape,,,Orostara,ser hin,,
sertix,,named for the number of faces on the object,tetrahedron,,tetrahedral,,,shape,,,Orostara,ser tix,,
set,basic,,area/field/realm/zone,,,,,measurement,,,Hindi,क्षेत्र,kṣétra,
sex,basic,,seven,,7,,,number,,8,Portuguese,Sete,,
sey,basic,,action/activity/deed/behavior,do/act/behave/happen/use,active/useful,,with/using/through/by,,,,Tamil,செய்,Cey,
mi,,particle to indicate something is looking for confirmation; similar to tacking on:  'right?'  or  'isn't it?'  or  'aren't you?',,,,,,,,,Orostara,am,,
si,slang,informal slang,ink,,,,(poetic) dark/black,,,,Orostara,siah,,
siah,basic,,ink,print,inky/(poetic) dark/black,,,,,,Hindi,स्याही,syāhī,
sik,basic,,thought/mind/opinion/idea,think/assume/contemplate/imagine/opine,thoughtful/contemplative/opinionated,thoughtfully/contemplatively,,,,,Mandarin Chinese,思,Sīkǎo,
sikat,basic,,,brush,,,,,,,Javanese,sikat,,
sikohun,slang,slang; short form for 'siko kohun'; follow with a subordinate clause,,,,,I think that,,,,Orostara,sik ko hun,,
sikor,,,brain,,,,,body,,9,Orostara,sik or,,
siksis,,,concept,conceptualize ,conceptually,,,,,,Orostara,sik sis,,
sim,basic,,appearance/resemblance/reflection,seem/appear/resemble/reflect,such/similar,so/such/similarly,like/as,,,,English,similar,,
simun,,indicates a dependent clause following,,,,,like/as,,,,Orostara,sim hun,,
sinar,basic,,sign/symbol/representation,signal/represent,symbolic,symbolically,,,,,Portuguese,sinal,,
sinaren,,,representative,,,,,,,,Orostara,sinar ren,,
sip,basic,,sibling/sister/brother,,,,,,,,English,sib,,
sis,basic,,system,,systemic,,,,,,Portuguese,lese,,
sison,basic,time of year,season,,,,,,,,English,season,,
sok,basic,Mostly used as an honorific suffix,junior employee,,,,,,,,Cantonese,初級,co kap,
son,basic,,weight/mass/gram/gramme,weigh,heavy,,,measurement,,,Shanghainese,重,zon,
sor,slang,informal slang; short form,,sorry,,,,,,,Orostara,soriy,,
sorit,basic,,solid,freeze,solid/frozen,,,,,,Portuguese,sólido,,
soriy,basic,,regret,I'm sorry/regret/apologize,,,,,,,English,sorry,,sori
sos,basic,,quest/search,search/seek,,,,,,,Mandarin Chinese,搜索,Sōusuǒ,
sot,basic,,noise/sound/volume,hear/listen,loud,loudly,,measurement,,,Arabic,صوت,sawt,
sotor,,,ear,,,,,body,,13,Orostara,sot or,,
suan,basic,,acid,,acidic/sour,sourly,,food,adj,3,Mandarin Chinese,酸,Suān,
suar,basic,,pig,,,,,animal/nature,,,Hindi,सुअर,suar,
suh,basic,,temperature/degree,,,,,measurement,,,Javanese,suhu,,su
suik,basic,,,care,caring,,,,,,Cantonese,照顾,zui gu,
suix,basic,,,randomize,random,randomly,,,,,Mandarin Chinese,随机,Suíjī ,
suk,basic/slang,,sugar,,sweet/(colloquially) cute,sweetly,,food,,2,English,sugar,,
sukrut,,,cake,,,,,food,,,Orostara,suk rut,,
sur,basic,,,surround/engulf/include/involve,,,around/including,,,,English,surround,,
suran,basic,,environment/nature,,natural/wild,naturally,,nature,,,Mandarin Chinese,自然,Zìrán,
sus,basic,,milk,,,,,body/food,,66,Javanese,susu,,
sut,basic,,speed/velocity,,fast/quick,,,measurement,,,Mandarin Chinese,速度,Sùdù,
Sutamerikater,proper,the continent; 'ter' added for clarity,South America,,,,,continent,,,Spanish,Sudamerica,,
Sutanmur,proper,'mur' added for clarity,Sudan/Republic of the Sudan,,,,,country,,,Arabic,السودان,as-Sūdān,
suton,basic,,robot,automate,automatic,automatically,,,,,Mandarin Chinese,自动,Zìdòng,
sux,basic,,,stop/cease/prevent,,,,,,,Mandarin Chinese,阻止,Zǔzhǐ,
suxer,basic,,dirt/soil/earth,,dirty,,,nature,,,Portuguese,sujeira,,
Suxerox,proper,inspired by the Chinese name for Saturn 土星 meaning 'soil/earth star' (referring to the Chinese idea of Wuxing and it's Five 'Elements'),Saturn,,,,,space,,14,Orostara,suxer hox,dirt planet,
taf,basic,,frog,,,,,animal/nature,,,Tamil,தவளை,Tavaḷai,
tak,basic,,dog,,,,,animal/nature,,,English,Dog,,
takik,,,puppy/pup,,,,,animal/nature,,,Orostara,tak ik,,
takxin,basic,,south,,south,south,,direction,adv,2,Telugu,దక్షిణ,Dakṣiṇa,
tam,basic,,break/interruption,stop/interrupt/interject,,,,,,,Bangla,থামা,Thāmā,
tamak,basic,,egg,,,,,body/food,,44,Japanese,卵,Tamago,
tamakor,,,ovary,,,,,body,,43,Orostara,tamak or,egg organ,
Tamirtar,proper,'tar' added for clarity,Tamil,,,,,language,,,Tamil,தமிழ்,Tamiḻ,
tan,basic,,opposite,oppose,opposite/contrary,even/still/anyway,but/however/nevertheless/yet/against,,,,Mandarin Chinese,但,Dàn,
Tansaniyamur,proper,'mur' added for clarity,Tanzania/United Republic of Tanzania,,,,,country,,,Swahili,Tanzania,,
tantar,,,argument,argue/debate/fight,argumentative/fiesty,,,,,,Orostara,tan tar,,
tanun,,indicates a dependent clause following,,,,,though/in spite of/despite,,,,Orostara,tan hun,,
tany,slang,informal slang; short form,,thanks/thx,,,,,,,Orostara,tanyafat,,
tanyafat,basic,,gratitude,thank/thanks/thank you,,,,,,,Hindi,धन्यवाद,dhanyavaad,
taor,basic,,blade/knife,,sharp/keen,,,,,,Mandarin Chinese,刀刃,Dāorèn,
tar,basic,,speech/language/communication,talk/speak/say/tell,,,,,,,English,talk,,
tarak,basic,,dragon,,,,,fantasy,,,English,dragon,,
taran,basic,,,stand,,,,,,,Bangla,দাঁড়ানো,dãṛanō,
tarat,basic,,pain,hurt/feel pain,painful,,,body,,,Punjabi,ਦਰਦ,Darada,
tat,basic,,,neutralize,neutral/bland,,,,,,Telugu,తటస్థ,Taṭastha,
tax,basic,,size,,big,,,measurement,,,Mandarin Chinese,大小,Dàxiǎo,
tay,slang,informal slang; short form,,,,please,,,,,Orostara,tayekar,,
tayekar,basic,,,beg,,please,,,,,Bangla,দয়া করে ,Daẏā karē,
tem,basic,,projectile,shoot,,,,,,,Javanese,tembak,,
ten,basic,,day,,,,,measurement,,,Russian,день,den',
tenat,basic,,,you're welcome,,,,,,,Spanish,de nada,,
tenfen,,,future day,,,,,,,,Orostara,ten fen,,
tenxan,,,past day,,,,,,,,Orostara,ten xan,,
tep,basic,,tape/strip/band/belt,,,,,,,,English,tape,,
ter,basic,,ground/land/base/continent,,,,,nature,,,Portuguese,terra,,
Terukutar,proper,'tar' added for clarity,Telugu,,,,,language,,,Telugu,తెలుగు,Telugu,
tes,basic,,ten,,10,,,number,,11,Portuguese,dez,,
tesat,basic,,test/trial/experiment,test/experiment,,,,,,,Italian,test,,
tesax,,,eighteen,,18,,,number,,19,Orostara,tes hax,,
tesek,,,eleven,,11,,,number,,12,Orostara,tes ek,,
teser,,,fourteen,,14,,,number,,15,Orostara,tes ser,,
tesfun,,,fifteen,,15,,,number,,16,Orostara,tes fun,,
tesnef,,,nineteen,,19,,,number,,20,Orostara,tes nef,,
tesruk,,,sixteen,,16,,,number,,17,Orostara,tes ruk,,
testin,,,thirteen,,13,,,number,,14,Orostara,tes tin,,
testoy,,,twelve,,12,,,number,,13,Orostara,tes toy,,
testoytix,,,dodecahedron,,,,,shape,,,Orostara,testoy tix,,
tet,basic,specifically to touch with your finger(s),finger,touch,,,,body,,51,Spanish,dedo,,
texix,,,seventeen,,17,,,number,,18,Orostara,tes xix,,
tien,basic,,electricity/power/watt,electricute/zap/shock,shocking/electrifying,shockingly,,,,,Mandarin Chinese,电,Diàn,
tier,basic,,animal,,animalistic,animalisticly,,animal/nature,,,German,Tier,,
tin,basic,,three,,3,,,number,,4,Punjabi,ਤਿੰਨ,Tina,
tinin,,named for the number of points on the shape,triangle,,triangular,,,shape,,,Orostara,tin hin,,
tinintix,,,triangular prism,,,,,shape,,,Orostara,tinin tix,,
tintix,,named for the number of faces on the object,cylinder,,cylindrical,,,shape,,,Orostara,tin tix,,
tir,basic,,direction,direct,,,to/toward/at,direction,,0,English,direction,,
tirxas,basic,,entertainment,entertain/interest,interesting/engaging/entertaining ,,,,,,Hindi,दिलचस्प,dilachasp,
tis,basic,,,reduce/decrease/shrink,,,,,,,Spanish,disminuir,,
tisison,,time of year,fall/autumn,,,,,,,,Orostara,tis sison,,
tix,basic,,volume/amount/limit/liter,,,,,measurement,,,Mandarin Chinese,体积,Tǐjī,
tiy,basic,,monarch/emperor/king/queen/sovereign/god,,,,,fantasy,,,Mandarin Chinese,帝,dì,
Toixamur,proper,'land' replaced with 'mur' for clarity,Germany,,,,,country,,,German,Deutschland,,
Toixetar,proper,'tar' added for clarity,German,,,,,language,,,German,deutsche,,
tok,basic,,danger/threat,threaten,dangerous/(colloquially) scary/frightening,,,,,,Marathi,धोका,Dhōkā,
tokfap,,,,,scary/frightening,,,,,,Orostara,tok fap,,
tokpaf,,,fear/fright/nerves,scare,scared/afraid/nervous,,,,,,Orostara,tok paf,,
tom,basic,,tail,,,,,body,,58,Persian,دم,dom,
tonx,basic,Mostly used as an honorific suffix,board member/member of the board of trustees,,,,,,,,Mandarin Chinese,董事,Dǒngshì,
top,basic,,help/service/benefit,assist/serve,helpful,helpfully,for,,,,Korean,돕다,dobda,
tor,basic,,duty/obligation/responsibility/liability,,dutiful/responsible/liable,,,,,,Russian,долг,dolg,
torat,basic,,pie/dumpling/tart,,,,,,,,Portuguese,torta,,
tos,basic,can be used as an honorific suffix,friend,befriend/tame/domesticate,friendly/tame/domesticated,,,,,,Hindi,दोस्त,dost,
toy,basic,,two/second,,2/both,,,number,,3,Portuguese,dois,,
toytes,,,twenty,,20,,,number,,21,Orostara,toy tes,,
toytestix,,named for the number of faces on the object,icosahedron,,icosahedral,,,shape,,,Orostara,toytes tix,,
toytix,,named for the number of faces on the object,cone,,conical,,,shape,,,Orostara,toy tix,,
tu,basic,indicates an indirect object,,,,,to/on/for/from/with,,,,English,to,,
tuf,basic,,teeth/tooth,bite,,,,body,,17,English,tooth,,
tuhun,,indicates a dependent clause acting as the indirect object of the sentence ,,,,,,,,,Orostara,tu hun,,
tuis,basic,,spiral/screw,twist/screw,spiraling,,,,,,English,twist,,
tuk,basic,,merchandise/purchase/good,sell,,,,,,,Urdu,دکان,dukān,
tuksis,,,commerce,exchange/trade,,,,,,,Orostara,tuk sis,,
tuktif,,,shop/store,,,,,,,,Orostara,tuk tif,,
tun,basic,,soup/stew,,,,,food,,,Mandarin Chinese,炖,Dùn,
tup,basic,,repetition/pattern,repeat/copy/duplicate,repetitive,repetitively/again,,,,,Urdu,دوبارہ,dobâre,
tupxan,,in terms of movement,,return,,,,,,,Orostara,tup xan,,
tur,basic,pair with 'sek',duration,,during,,,,,,Spanish,durante,,
Turkiyemur,proper,'mur' added for clarity,Turkey/Republic of Turkey,,,,,country,,,Turkish,Türkiye,,
Turukjetar,proper,'tar' added for clarity,Turkish,,,,,language,,,Turkish,Türkçe,,
tusek,,indicates a persistent timeframe; think 'over the past couple days' or 'during the meeting',,,,,,,,,Orostara,turan sek,,
tusekun,,,,,,while/as/as long as,,,,,Orostara,tusek hun,,
tux,basic,,snow,snow,,,,nature,,,Bangla,তুষার,Tuṣāra,
uan,basic,,evening,,,,,,,,Mandarin Chinese,晚,Wǎn,
uek,basic,,consciousness,wake,awake/conscious,,,,,,English,wake,,
Ukrayinamur,proper,'mur' added for clarity,Ukraine,,,,,country,,,Ukrainian,Україна,Ukrayina,
umam,basic,,,,savory/umami,,,food,adj,5,Japanese,うま味,umami,
un,basic,specific to physical feelings (touch),physical feeling/sensation,feel/sense,,,,body,,,Tamil,உணர்வு,Uṇarvu,
unor,,,skin,,,,,body,,1,Orostara,un or,,
up,basic,,learning/analysis/research,learn/study/practice/analyze/investigate,studious,,,,,,German,üben,,
upr,basic,Mostly used as an honorific suffix,manager/director,,,,,,,,Russian,управлять,upravlyat,
uptif,,,school/university/college,,,,,,,,Orostara,up tif,learn place,
ur,basic,,,invert/reverse/undo,,,,,,,Punjabi,ਉਲਟਾ,Ulaṭā,
uran,,,subtraction,subtract/remove,,,,,,,Orostara,ur an,,
uraper,,,,loosen,loose,,,,,,Orostara,ur aper,,
urhek,,,vomit,vomit/throw up,,,,body,,67,Orostara,ur hek,,
urip,basic,,life,live,alive,lively,,,,,Javanese,urip,,
urmem,,,,forget,forgetful,,,,,,Orostara,ur mem,,
urnit,,,,drain,,,,,,,Orostara,ur nit,,
urot,,,loss,lose,lost,,,,,,Orostara,ur ot,un get,
Urtutar,proper,'tar' added for clarity,Urdu,,,,,language,,,Urdu,اردو,,
urxamkut,,,key,,,,,,,,Orostara,ur xamkut,,
us,basic,the direction of right (vs left),right,,right,right,,direction,adv,7,Marathi,उजवे,Ujavē,
ut,basic,,arm,throw/toss/launch,,,,body,,47,Japanese,腕,Ude,
utar,basic,,north,,north,north,,direction,adv,1,Hindi,उत्तर,uttar,
utper,,,shoulder,,,,,body,,45,Orostara,ut per,,
utxot,,,elbow,,,,,body,,48,Orostara,ut xot,,
x,slang,slang; informal,you,,your/yours/their/theirs,,,,,,Orostara,jeh,,
xafen,,pair with 'sek',future hour,,,,,,,,Orostara,xas fen,,
xak,basic,,force/power/authority/newton,force/make/influence/coerce/enforce,forceful/powerful,forcefully/powerfully,,,,,Hindi,शक्ति,shakti,
tifun,,marks the location; indicates a dependent clause following,,,,,,,,,Orostara,tif hun,,
xam,basic,,leg,kick,,,,body,,54,French,jambe,,
xamkut,basic,,lock,lock,locked,,,,,,Korean,잠그다,jamgeuda,
xamper,,,hip,,,,,body,,53,Orostara,xam per,,
xamxot,,,knee,,,,,body,,55,Orostara,xam xot,,
xan,basic,,(temporally) past/(physically) movement/motion/exercise,go/move/transport,(temporally) past,,,,,,Hindi,जाना,jaana,
xankatay,,,history/story,,historic,,,,,,Orostara,xan katay,Lìshǐ,
xansek,slang,past marker,past/last time,,previous,previously/already,,,,,Orostara,xan sek,,
xap,basic,,pressure/pascal/(colloquially) stress,crush/squeeze,(colloquially) stressful/stressed,,,measurement,,,Bangla,চাপ,Cāpa,
xar,basic,,intelligence,,intelligent/smart ,smartly,,,,,Bangla,চালাক,calak,
xarir,basic,,body,,,,,body,,0,Marathi,शरीर,Śarīra,
xas,basic,,hour,,,,,measurement,,,Russian,час,chas,
xat,basic,,shutdown/ending/finale,close/shut/turn off/finish/end/complete,closed/off/ended/finished/complete/done,finally,to (as in from here to there),,,,English,shut,,
Xauatar,proper,'tar' added for clarity,Javanese,,,,,language,,,Javanese,jawa,,
