Orostara,Type,Notes,Nouns,Verbs,Adjectives,Adverbs,Other,Category,CatRel,CatOrder,RootLanguage,RLWord,RL Word Pronunciation,PemSearchList
Kenatamur,proper,'mur' added for clarity,Canada/Dominion of Canada,,,,,country,,,English,Canada,,
Kenyamur,proper,'mur' added for clarity,Kenya/Republic of Kenya,,,,,country,,,Swahili,Kenya,,
ker,basic,,game/sport,play a game,fun,,,,,,Hindi,खेल,khel,
keren,,,teacher/professor,,,,,,,,Orostara,keh ren,education person,
kes,basic,,cough,cough,,,,body,,70,Mandarin Chinese,咳嗽,Késòu,
ket,basic,,,carry/bring/convey,,,,,,,Turkish,getirmek,,
key,basic,,gift/reward/prize/distribution,give/reward/share/distribute,gifted/free/earned,,,,,,Mandarin Chinese,给,Gěi,
keyfap,,,generosity,,generous,generously,,,,,Orostara,key fap,,
keyuk,basic,,muscle,,muscular,,,body,,3,Cantonese,肌肉,gei juk,
ki,,particle to indicate something is a question ,,,,,,,,,Orostara,kiy,,
kifax,,for what reason; why did it happen,,,,why,,,,,Orostara,kiy fax,what reason,
kimuk,,,which,,,,,,,,Orostara,kiy muk,what thing,
kimut,,for what purpose; what was the desired outcome,,,,why,,,,,Orostara,kiy mut,,
kion,,,whatever/whichever,,,,,,,,Orostara,kiy on ,what any,
kiren,,,who,,,,,,,,Orostara,kiy ren,what person,
kis,slang,slang; shortened form of adverb form of kisey,,,,how,,,,,Orostara,kisey,,
kisek,,,,,,when,,,,,Orostara,kiy sek,,
kisey,,,,,,how,,,,,Orostara,kiy sey,what action,
kitif,,,,,,where,,,,,Orostara,kiy tif,what place,
kiy,basic,,what/question,ask/question,inquisitive ,,,,,,Urdu,کیا,kya,ki
ko,basic,indicates a direct object,,,,,,,,,Hindi,को,ko,
kohun,,indicates a dependent clause acting as the direct object of the sentence,,,,,,,,,Orostara,ko hun,,
kom,basic,,frequency/rate,,common/general/regular/standard/usual/frequent/often,commonly/generally/usually/frequently/often/regularly,,measurement,,,Spanish,común,,
komar,basic,,,,gentle/soft,gently/softly,,,,,Punjabi,ਕੋਮਲ,Kōmala,
kon,basic,,company/business/firm,,,,,,,,Mandarin Chinese,公司,Gōngsī,
Konko-Kinxasamur,proper,'mur' added for clarity,DR Congo/DRC/Democratic Republic of the Congo,,,,,country,,,French,Congo-Kinshasa,,
kor,basic,,rabbit/bunny,,,,,animal/nature,,,Bangla,খরগোশ,khôrgoś,
korkar,basic,,,hang,,,,,,,Spanish,colgar,,
Korompiyamur,proper,'mur' added for clarity,Colombia/Republic of Colombia/Columbia,,,,,country,,,Spanish,Columbia,,
korun,basic,,column,,,,,,,,Portuguese,coluna,,
kos,basic,,bone,,,,,body,,7,Russian,кость,kost',
kosek,basic,,code,encode/encrypt,cryptic,,,,,,Spanish,código,,
kot,basic,can be used as an honorific suffix; specifically means 'your child'; not the same as underage person; see 'hok' if you need to give an honorific to a child,child/son/daughter/offspring,,,,,,,,Telugu,కొడుకు,Koḍuku,
kox,basic,,shell/case,shield/defend/guard/protect,protective ,protectively,,,,,Shanghainese,壳,khoq,
koxpak,,,beetle,,,,,animal/nature,,,Orostara,kox pak,,
koxrisar,,,turtle ,,,,,animal/nature,,,Orostara,kox risar,shell lizard,
Kuantontar,proper,话 replaced with 'tar',Cantonese/Yue Chinese,,,,,language,,,Cantonese,广东话,gwong dung waa,
kuk,basic,,air/gas,boil/evaporate/simmer,airy/gassy/boiled,,,,,,Japanese,空気,Kūki,
kuksay,,,fluid,flow,fluid,,,,,,Orostara,kuk say,air liquid,
kukxan,,,wind,airate,windy,,,,,,Orostara,kuk xan,,
kun,basic,,group/collection,collect,,,,,,,Japanese,群,gun,
kunek,,,team,,,,,,,,Orostara,kun ek,group (as) one,
kup,basic,as in 'too much',excess,,extra/excessive,too,,,,,Bangla,খুব,Khuba,
kupup,,,profit,profit,,,,,,,Orostara,kup hup,,
kus,basic,,grass,,,,,plant/nature,,,Japanese,草,kusa,
kut,basic,,town/city,,,,,,,,Javanese,kutha,,
kux,basic,to a medium degree,medium,,some/kind of/okay/fine/medium/mediocre,,,,,,Punjabi,ਕੁੱਝ,Kujha,
kuxkasan,,,AR/augmented reality,,AR,,,,,,Orostara,kux kasan,,
Kuxratitar,proper,'tar' added for clarity,Gujarati/Gunjarati,,,,,language,,,Gujarati,ગુજરાતી,Gujarātī,
ma,basic,particle to indicate subject of a sentence,,,,,,,,,Mandarin Chinese,嘛,ma,
maf,basic,,trouble/difficulty/challenge,challenge,difficult/hard/tough/challenging,,,,,,Mandarin Chinese,麻烦,Máfan,
mahun,,indicates a dependent clause acting as the subject of the sentence,,,,,,,,,Orostara,ma hun,,
makat,basic,,monkey,,,,,animal/nature,,,Marathi,माकड,Mākaḍa,
makin,basic,,computer/machine/mechanic,compute,mechanical/computational,mechanically,,,,,Spanish,máquina,,
mam,basic,,mammal,,,,,animal/nature,,,Spanish,mamífero,,
man,basic,,,fill,enough/full,enough,,,,,Mandarin Chinese,满,Mǎn,
map,basic,Can be used as an honorific suffic ,parent/mom/dad/father/mother,,,,,,,,Punjabi,ਮਾਪੇ,Māpē,
maprais,,,airplane/plane,,,,,,,,Orostara,mapur rais,fly vehicle,
mapror,,,wing,,,,,body,,46,Orostara,mapur or,,
mapur,basic,,flight,fly,,,,,,,Javanese,mabur,,
Mapurox,proper,inspired by the French name for Mercury 'Mercure' which is named after the Roman god Mercury 'who wore winged sandals',Mercury,,,,,space,,9,Orostara,mapur hox,flying planet,
mar,basic,,center/middle/core,core,center/middle,,between/among/amongst,,,,Arabic,مركز,markáz,
Maratitar,proper,'tar' added for clarity,Marathi,,,,,language,,,Marathi,मराठी,Marāṭhī,
Maripmur,proper,'mur' added for clarity,Morocco/Kingdom of Morocco,,,,,country,,,Arabic,المغرب,almaghrib,
marnax,,,sun,,,,,space,,1,Orostara,mar nax,center star,
maron,basic,,brown,,brown,,,color,,7,Spanish,marrón,,
mas,basic/slang,to a large degree; can be used as a casual honorific suffix,much/a lot/(honorific) mentor/person I look up to,,a lot/many/(colloquially) good,very,,,,,Urdu,مزید,mazid,
masak,,pair with 'sek',an early past,,early,early,,,,,Orostara,mas ak,,
Masansimur,proper,'mur' added for clarity,South Africa/Republic of South Africa,,,,,country,,,Xhosa,Mzansi,,
masaox,,commonly used with the -u ending as a greeting,good morning,,,,,,,,Orostara,mas saox,,
masap,,,data/specifics/details/description,describe,particular/specific/detailed,particularly/specifically/especially,,,,,Orostara,mas sap,,
masaxfit,,,improvement,improve,improved,,,,,,Orostara,mas ax fit,tai sing,
masek,,,loner,,alone/solitary/lone,lonely,,,,,Orostara,mas ek,,
masfar,,,penis,,,,,body,,39,Orostara,mas far,,
masfax,,,explanation,explain,,,,,,,Orostara,mas fax,,
